"X" "Y"
"348" -78.999164 37.040864
"349" -78.999164 37.040864
"350" -78.99492 37.0459
"351" -80.539143 37.175271
"352" -80.42064 37.18869
"353" -78.62369 37.205197
"354" -78.621702 37.207254
"355" -80.20977 37.33451
"356" -80.20977 37.33451
"357" -79.713892 37.378359
"358" -79.54067 37.49887
"359" -80.04324 37.5939
"360" -78.24896 37.80351
"361" -78.24896 37.80351
"362" -79.887621 37.877746
"363" -78.931693 37.93919
"364" -78.01542 37.95608
"365" -78.01542 37.95608
"366" -78.770112 38.151893
"367" -78.770112 38.151893
"368" -78.770932 38.19123
"369" -79.874516 38.372326
"370" -79.868852 38.379754
"371" -77.425638 38.491828
"372" -79.392518 38.638179
"373" -79.23337 38.682339
"374" -77.85554 38.765058
"375" -79.191203 38.773936
"376" -77.015819 38.939091
"377" -77.07667 38.97111
"378" -77.238928 38.975976
"379" -83.2466666667 39.0988888889
"380" -78.484454 39.136215
"381" -82.6775 39.6047222222
"382" -82.6775 39.6047222222
"383" -75.238042 39.717241
"384" -75.238042 39.717241
"385" -77.471491 39.724042
"386" -75.223588 39.736211
"387" -76.954529 39.745445
"388" -75.546667 39.745833
"389" -75.310465 39.747614
"390" -75.636873 39.766223
"391" -75.144185 39.766284
"392" -75.237631 39.790254
"393" -75.639722 39.791389
"394" -75.639722 39.791389
"395" -75.639722 39.791389
"396" -75.639722 39.791389
"397" -75.675488 39.808167
"398" -79.434444 39.831944
"399" -79.434444 39.831944
"400" -79.434444 39.831944
"401" -75.711603 39.846777
"402" -75.709696 39.852378
"403" -75.596592 39.853172
"404" -75.596592 39.853172
"405" -75.568425 39.865348
"406" -75.358981 39.901333
"407" -75.459642 39.901778
"408" -75.357601 39.90186
"409" -75.713959 39.910742
"410" -75.713959 39.910742
"411" -75.364789 39.914387
"412" -75.688827 39.920387
"413" -75.704474 39.92096
"414" -76.198011 39.925379
"415" -75.181983 39.94865
"416" -75.996895 39.954826
"417" -75.605488 39.960664
"418" -75.823836 39.983162
"419" -76.020507 39.987325
"420" -76.683022 40.00232
"421" -75.198443 40.007974
