"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MAST20"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST21"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST22"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST24"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MDDM01"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM02"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM03"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM04"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM05"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM08"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM10"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM11"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,323"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM12"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM13"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"217,220"	
"MDDM14"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"308,308"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM15"	"135,135"	"156,156"	"167,167"	"162,162"	"216,216"	"356,356"	"323,323"	"216,216"	"169,169"	"382,382"	"220,220"	
"MDDM16"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"356,358"	"308,308"	"216,216"	"163,163"	"382,382"	"217,220"	
"MDDM17"	"135,135"	"154,154"	"167,167"	"162,162"	"216,216"	"358,358"	"308,308"	"216,216"	"163,169"	"382,382"	"220,220"	
